菜系	口味	食材	菜名
鲁菜	鲜香	新鲜鲅鱼、韭菜、五花肉	鲅鱼水饺
鲁菜	醇厚香辣	猪大肠、黄豆酱、八角、桂皮等	九转大肠
鲁菜	鲜嫩清淡	活石斑鱼、姜丝、葱段	清蒸石斑鱼
鲁菜	鲜香微辣	鸡尾菌、青椒、蒜末	鸡尾菌炒时蔬
鲁菜	醇厚鲜香	肥瘦适中的鸭子、荷叶	荷叶烤鸭
鲁菜	甜咸适口	粉丝、豆腐脑、花生碎、胡椒粉	济南甜沫 
鲁菜	醇厚鲜香	野生鲜蘑菇、嫩豆腐	鲜蘑烩豆腐
鲁菜	咸鲜香脆	薄饼、鸡蛋、熟火腿、生菜、甜面酱	泰山煎饼果子
粤菜	鲜香	新鲜乳鸽、五花肉、广东酱油、糖、蜂蜜、料酒等	脆皮乳鸽
粤菜	原汁原味	新鲜走地鸡、姜、葱、蒜、生抽、香醋	白切鸡
粤菜	香辣	新鲜凤爪、豆豉、红辣椒、生姜、蒜末、生抽、细砂糖	豉椒蒸凤爪
粤菜	甜而不腻	五花肉、麦芽糖、老抽、生抽、蜂蜜、五香粉	叉烧包
粤菜	醇厚	长粒米、腊肠、鸡肉、虾仁、蚝油、黄豆酱、青菜	煲仔饭
粤菜	酸甜	猪蹄、陈皮、八角、草果、冰糖、白醋	白云猪手
粤菜	醇厚滋补	各种药材（如党参、淮山、红枣、枸杞等）、鸡或猪骨	煲汤
粤菜	鲜美清淡	鲜活石斑鱼、葱姜、生抽、细盐	清蒸石斑鱼
粤菜	香鲜微辣	新鲜蟹柳、豆豉酱、干辣椒、蒜蓉、生姜、葱花	豉皇炒蟹柳
淮扬菜	醇厚鲜香	新鲜大闸蟹肉、猪五花肉糜、菊花瓣、火腿末等	菊花炖蟹粉狮子头
淮扬菜	清爽微辣	鲜螺蛳、嫩姜	盐水煮嫩姜螺蛳
淮扬菜	鲜美	鲜虾仁、北豆腐、龙井茶叶	龙井虾仁烩豆腐
淮扬菜	醇厚鲜香	猪肉糜、虾仁、鲜蘑菇、莲藕片、鸡汤	三鲜狮子头焖藕夹
淮扬菜	酸甜脆嫩	草鱼、淀粉、醋、白糖 	糖醋脆皮咕咾鱼
淮扬菜	醇厚鲜嫩	瘦猪肉糜、虾仁、新鲜菠菜	淮扬翡翠烧卖
淮扬菜	层次丰富	鹅肝、黄瓜 	云吞鹅肝拌黄瓜
淮扬菜	醇厚	白鱼翅、鸡骨	清炖白鱼翅
淮扬菜	醇厚	鳝鱼、黄豆芽 	黄豆芽炒鳝糊
淮扬菜	肥而不腻	五花肉、梅干菜	梅菜扣肉
湘菜	层次丰富	新鲜草鱼头、菖兰、剁椒	菖兰剁椒鱼头
湘菜	醇厚香辣	五花肉、腊肉	湘味蒸腊肉
湘菜	麻辣鲜香	黄牛肉、干辣椒、花椒等	麻辣小炒黄牛肉
湘菜	酸辣鲜香	猪小排、剁椒	剁椒蒸排骨
湘菜	甜酸适口	藕、糯米、桂花糖浆	桂花糯米藕
湘菜	酱香浓郁	五花肉、酱料、白糖	毛氏红烧肉
湘菜	麻辣鲜香	臭豆腐、酸菜、豆芽等	湘式臭豆腐煲
湘菜	甜香醇厚	糯米粉、红糖	糖油粑粑
湘菜	滑嫩浓郁	长沙米粉、腊鸭	长沙米粉炖腊鸭
湘菜	酸辣鲜香	鸡蛋、酸豆角	酸豆角炒蛋
闽菜	醇厚浓郁	海参、鲍鱼、鱼翅、瑶柱、鸽蛋、鸡鸭猪羊海鲜、冬菇、笋尖、花胶等	福建佛跳墙
闽菜	香辣鲜美	面条、猪肉片、海蛎、豆芽、金针菇、虾仁、花生碎、沙茶酱	闽南沙茶面
闽菜	酱香浓郁	鸡肉、米酒、酱油、蒜瓣、九层塔、糖	福州三杯鸡
闽菜	鲜香软糯	白萝卜、糯米粉、虾米、香菇、五花肉、香葱	泉州萝卜糕
闽菜	甜而不腻	糯米、五花肉、香菇、栗子、咸蛋黄、红糟	厦门烧肉粽
闽菜	咸鲜香辣	嫩豆腐、虾皮、辣椒、大蒜、生抽、细砂糖	闽侯豆腐干
闽菜	酸甜醇厚	鸭肉、新鲜芦柑、八角、桂皮、生姜	永春芦柑鸭
闽菜	酱香浓郁	碱水面、瘦肉、猪肝、大肠、海蛎、八角、香叶、桂皮等	莆田卤面
闽菜	鲜滑爽口	鱼肉糜、虾米、冬菇、姜末、香菜	福清鱼丸汤
闽菜	清香甘润	土鸡、白茶叶、枸杞、红枣、党参	南平武夷山白茶炖鸡
浙菜	清香鲜美	西湖草鱼头、菊花、香菇、冬笋	菊花酿鱼头
浙菜	醇厚浓郁	土鸡、绍兴黄酒、姜片、香葱	绍兴醉鸡
浙菜	清甜爽滑	西湖莼菜、火腿丝、竹笋、鸡肉	西湖莼菜汤
浙菜	肥而不腻	五花肉、老抽、生抽、糖、八角、香叶	东坡肉
浙菜	鲜嫩酸爽	新鲜石斑鱼、浙醋、生姜、葱段	清蒸石斑鱼配浙醋
浙菜	香酥嫩滑	春笋、猪肉末、红椒、葱蒜	油焖春笋
浙菜	滋润醇厚	雪蛤、虎跑泉水、枸杞、红枣	虎跑泉水炖雪蛤
浙菜	鲜嫩清香	大虾、龙井茶叶、生姜、葱白	龙井虾仁
浙菜	软糯香甜	糯米粉、猪油、芝麻、豆沙	宁波汤圆
浙菜	微辣鲜香	田螺、豆腐干、青椒、大蒜	红烧田螺
徽菜	醇厚	毛豆、老豆腐、香菇、冬笋	徽州毛豆腐煲
徽菜	香辣	鲜活鳜鱼、臭黄豆酱	徽州臭鳜鱼
徽菜	酱香	土鸡肉、米酒、香葱、生姜	芜湖醉鸡
徽菜	甜酸	肥鸭、糯米酒糟、冰糖	安庆糟烧鸭
徽菜	清炖	母鸭、小公鸭、鸽子	徽州三套鸭
徽菜	香辣	新鲜毫菇、大蒜、干辣椒	阜阳炒毫菇
徽菜	甘甜	红薯、芝麻、白糖	砀山烤红薯
徽菜	浓郁醇厚	石耳、猪肚、枸杞	池州石耳炖猪肚
徽菜	鲜香	鸽子蛋、瑶柱、枸杞	黄山炖鸽蛋
徽菜	咸鲜	鸭腿、食盐、八角、桂皮	马鞍山盐水鸭腿
苏菜	清香	鸡腿肉、菊花瓣	菊花鸡
苏菜	甜酸	鳜鱼、核桃仁、枸杞	松鼠桂鱼
苏菜	甜腻	红薯、白糖		拔丝地瓜
苏菜	鲜美	阳澄湖大闸蟹	阳澄湖大闸蟹
苏菜	咸鲜	鸭子	盐水鸭
苏菜	醇厚	五花肉、猪肝、虾仁	苏式红烧狮子头
苏菜	清爽	冬瓜、鲍鱼、鱼翅	清汤冬瓜鲍鱼翅
苏菜	鲜香	鸭血、粉丝		南京盐水鸭血粉丝汤
苏菜	鲜香	海参、姜汁、松茸	姜汁松茸拌海参
苏菜	细腻	黄豆、石膏粉	苏州豆腐花
京菜	醇厚	北京填鸭	北京烤鸭
京菜	清香	水发冬菇、黄豆芽、金针菇、玉兰片	炒四宝
京菜	香辣	羊肉、大葱		葱爆羊肉
京菜	醇厚	鸡胸肉、花生米、干辣椒、花椒	宫保鸡丁
京菜	滋补清淡	燕窝、鸡肉清汤	清汤燕窝
京菜	酱香浓厚	猪肘	红烧肘子
京菜	鲜美醇厚	猪小排、莲藕	莲藕排骨汤
京菜	酸甜	猪里脊肉、面粉、醋、白糖	糖醋里脊
京菜	咸鲜	黄瓜、黄酱、甜面酱	京酱黄瓜
京菜	甜香	五花肉、蜂蜜	蜜汁叉烧
晋菜	醇厚	柴鸡、黄豆酱、五香粉	太行山烧鸡
晋菜	酸鲜	手工刀削面、猪五花肉、大葱、老陈醋	刀削面浇肉卤
晋菜	酱香	黄牛肉、八角、桂皮、草果	平遥牛肉
晋菜	香醇	小米、芝麻、花生、核桃仁、葱花	太原油茶
晋菜	麻辣	黄豆、花椒、辣椒粉、食盐	石楼豆腐干
晋菜	奶香	土豆、牛奶、黄油、蒜末	临县土豆泥
晋菜	鲜香	五花肉、黄豆芽、木耳、生姜	洪洞炖肉
晋菜	香脆	面粉、花椒、芝麻、大葱	孝义烤饼
晋菜	甘甜	沁州黄小米、红枣、枸杞、冰糖	沁州黄小米粥
晋菜	鲜香	猪肉馅、韭菜、虾皮、鸡蛋	平阳水晶饺子
陕菜	醇厚	五花肉、菊花瓣	菊花酿肉 
陕菜	酸辣	小麦面粉、黄瓜丝、豆芽、红油辣椒	陕西凉皮 
陕菜	香酥鲜香	优质猪肉、饼皮	肉夹馍 
陕菜	麻辣鲜香	羊腿肉、粉丝、黄豆芽、麻椒、辣椒	水盆羊肉 
陕菜	浓厚醇香	羊肉、饦饦馍	羊肉泡馍 
陕菜	香辣	土鸡、干辣椒、花椒	西安葫芦鸡 
陕菜	酱香	宽面、豆腐乳、韭菜	腐乳炒面 
陕菜	酸辣清爽	猪耳朵、黄瓜、红萝卜、醋、蒜泥、辣椒油	凉调猪耳
陕菜	酸辣开胃	土豆、青椒	、醋	醋溜土豆丝 
陕菜	鲜香清淡	豆腐、粉条、木耳	炒三合菜 
豫菜	醇厚清香	鱼翅、菊花		菊花烩鱼翅
豫菜	咸鲜醇厚	面粉、羊肉、海带等	河南烩面
豫菜	香酥可口	老母鸡、大葱、生姜	炖吊炉烧鸡
豫菜	酸爽脆口	鱼翅、菊花		三皮黄瓜
豫菜	酱香浓郁	兔肉、豆瓣酱、甜面酱	酱焖兔肉
豫菜	香甜绵软	红薯、黄豆芽	地锅红薯泥
豫菜	清淡鲜美	嫩豆腐、火腿、香菇	清汤豆腐
豫菜	麻辣鲜香	童子鸡、花椒、八角、香辛料	开封桶子鸡
豫菜	鲜香油润	猪肉末、韭菜、大葱等	豫式煎包
豫菜	醇厚香浓	面筋、羊肉、土豆	羊肉烩面筋
赣菜	酱香浓郁	新鲜五花肉、赣式手工米粉、生姜、蒜瓣、干辣椒、八角、香叶	江西米粉炖肉
赣菜	香辣鲜嫩	鲜活草鱼、豆芽、赣椒、生姜、大蒜、豆瓣酱	赣南小炒鱼
赣菜	鲜香滑爽	江西特色米线、猪肉末、鸡蛋、青菜、葱姜蒜、赣式豆瓣酱	南昌炒粉
赣菜	醇厚鲜美	嫩豆腐、鸭血、香菇、赣式老抽、生姜、细白胡椒粉	景德镇豆腐煮鸭血
赣菜	醇厚浓郁	肥鹅掌、糟卤、桂皮、八角、生姜、大葱	吉安糟鹅掌
赣菜	烟熏醇厚	鸡腿、红曲米、生姜、大葱、桂皮、八角等	萍乡熏鸡腿
赣菜	原汁原味	土鸡、食盐、五香粉、大蒜、生姜、料酒	赣南盐煎鸡
赣菜	酸辣可口	鳙鱼头、酸菜、生姜、大蒜、干辣椒、花椒	抚州酸汤鱼头
赣菜	甜而不腻	五花肉、糯米、赣式老抽、生抽、细砂糖、八角、桂皮	赣州糯米扣肉
赣菜	鲜咸适口	新鲜冬笋、腊肉、生姜、料酒、赣式豆瓣酱	宜春腌笃鲜
鄂菜	麻香浓郁	碱水面、芝麻酱、榨菜、黄豆芽、香葱	湖北热干面
鄂菜	麻辣鲜香	小龙虾、干辣椒、花椒、大蒜、生姜、豆瓣酱	麻辣小龙虾
鄂菜	醇厚鲜美	细挂面、牛腱子肉、大骨汤、青蒜、香菜	襄阳牛肉面
鄂菜	酱香鲜美	洪山菜薹、五花腊肉、香菇、老抽、生抽	洪山菜薹炖腊肉
鄂菜	香辣入味	鸭脖、八角、桂皮、花椒、生抽、糖色	武汉鸭脖
鄂菜	鲜香微辣	新鲜猪后腿肉、桂林米粉、豆腐乳、蒜泥、葱花	桂林米粉蒸肉
鄂菜	酸辣爽口	鳝鱼、莲藕、冬瓜、生姜、蒜瓣	黄陂三鲜焖鳝鱼
鄂菜	甜而不腻	孝感米酒、鸡蛋、枸杞、红枣	孝感米酒鸡蛋
鄂菜	酱香微辣	活清江鱼、豆豉、小米椒、姜片、葱段	宜昌清江鱼
鄂菜	酱香微辣	大虾、大蒜、生姜、红椒、黄豆酱	潜江油焖大虾
黔菜	麻辣鲜香	嫩豆腐、干辣椒、花椒	麻辣豆腐干
黔菜	酸辣爽口	黄豆芽、海带丝、粉丝、黄瓜、绿豆芽、酱油、醋、蒜泥等	贵阳丝娃娃
黔菜	酸辣开胃	新鲜草鱼、水、木姜子、酸笋、西红柿等	安顺苗家酸汤鱼
黔菜	酸辣可口	嫩牛肉、特制酸汤、细粉、时令蔬菜、桂林米粉、豆腐乳、蒜泥、葱花	凯里酸汤牛肉粉
黔菜	鲜香微辣	羊肉、遵义米粉、红油辣椒	遵义羊肉粉
黔菜	香辣	鲤鱼、秘制酱料	黄果树瀑布烤鱼
黔菜	酸辣鲜美	鱼、酸菜、辣椒、花椒	黔西南布依酸菜鱼
黔菜	酱香浓郁	土鸡肉、桂林三花酒糟、酸菜	桂林三花酒糟鸡
黔菜	清香鲜美	都匀毛尖茶、鸡蛋	都匀毛尖炒蛋
黔菜	酸辣鲜香	猪耳朵、剁椒、葱、姜、大蒜	六盘水凉拌猪耳朵
滇菜	醇厚	云南野生鸡腿菇、土鸡	菌王烧鸡
滇菜	清香	云南过桥米线、玫瑰、茉莉等	鲜花米线
滇菜	香酥	糯米粉、黄豆面、火腿、香菇	官渡粑粑
滇菜	鲜香	土鸡、冬虫夏草、老母鸡汤	云南汽锅鸡
滇菜	麻辣	云南腊排骨、豆芽、金针菇	腊排骨火锅
滇菜	鲜咸	石屏水豆腐、火腿、鸡精、葱姜蒜	石屏豆腐
滇菜	酸辣	高原活鱼、番茄、白萝卜、野生松茸	香格里拉酸汤鱼
滇菜	鲜嫩滑爽	滇池湖虾、蛋清、马铃薯淀粉、葱姜末	滇池虾滑
滇菜	麻辣香浓	过桥米线、牛百叶、牛肉片、芝麻酱	昆明过桥米线拌肺片
滇菜	甜酸开胃	泰国糯米、菠萝、瘦猪肉、青椒	傣族菠萝饭
客家菜	醇厚	五花肉、梅干菜	梅菜扣肉
客家菜	鲜香微咸	鸡肉、粗海盐	盐焗鸡
客家菜	鲜香滑嫩	嫩豆腐、猪肉馅、香菇	酿豆腐
客家菜	清香鲜嫩	草鸡、生姜、葱	白切鸡
客家菜	甜酸软糯	糯米、红枣、桂圆、莲子等	八宝饭
客家菜	醇香微辣	草鱼、黄酒糟、蒜蓉	酒糟鱼
客家菜	酱香鲜美	紫皮茄子、猪肉末、虾米	客家酿茄子
客家菜	香辣浓郁	狗肉、老抽、生抽、八角	焖狗肉
客家菜	酸辣爽口	猪脚、酸菜、姜片	酸菜白斩猪脚
客家菜	香脆微辣	蕨菜、腊肠、大蒜	蕨菜炒腊肠
琼菜	鲜香	文昌鸡、海南大米、海南黄花雕鸡汁	海南鸡饭
琼菜	清爽	新鲜猪骨汤、红薯粉丝、海带丝、薄荷、花生碎等	清补凉海南粉
琼菜	醇厚滋补	土鸡、新鲜椰子和各种中药材	椰子炖鸡
琼菜	香辣鲜美	文昌鱼、酱油、糖、五香粉、辣椒粉等	烧烤文昌鱼
琼菜	咸鲜滑嫩	红薯粉、虾仁、鱿鱼圈、鸡蛋、蒜蓉、葱花等	黄金炒海南粉
琼菜	醇厚鲜香	新鲜鲍鱼、红薯粉丝、鸡汤、瑶柱等	鲍鱼扣海南粉
琼菜	甜酸可口	糯米、新鲜芒果、椰奶	芒果糯米饭
琼菜	原汁原味	文昌鸡、生抽、蒜泥、沙姜酱等	白切文昌鸡
琼菜	清甜滋润	新鲜排骨、本地冬瓜、生姜	海南冬瓜排骨汤
琼菜	口感细腻	燕窝、新鲜木瓜、冰糖	木瓜炖燕窝

